drug_name,medical_condition,side_effects,generic_name,brand_names
ertugliflozin,Diabetes (Type 2),"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Seek medical attention right away if you have signs of a genital infection (penis or vagina): burning, itching, odor, discharge, pain, tenderness, redness or swelling of the genital or rectal area, fever, not feeling well. These symptoms may get worse quickly. Ertugliflozin may cause serious side effects. Call your doctor at once if you have: new pain, tenderness, sores, ulcers, or infections in your legs or feet; little or no urination; ketoacidosis (too much acid in the blood)--nausea, vomiting, stomach pain, confusion, unusual drowsiness, or trouble breathing; dehydration symptoms--dizziness, weakness, feeling light-headed (like you might pass out); or signs of a bladder infection --pain or burning when you urinate, increased urination, blood in your urine, fever, pain in your pelvis or back. Some side effects may be more likely to occur in older adults. Common side effects of ertugliflozin may include: genital yeast infections; or urinating more than usual.",ertugliflozin,Steglatro
insulin degludec / liraglutide,Diabetes (Type 2),"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Insulin degludec and liraglutide may cause serious side effects. Call your doctor at once if you have: severe nausea and vomiting ; shortness of breath (even with mild exertion); swelling in your feet or ankles, rapid weight gain; signs of pancreatitis--severe pain in your upper stomach spreading to your back, nausea and vomiting, fast heart rate ; kidney problems--little or no urination, painful or difficult urination; or low potassium level--leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling. Common side effects of insulin degludec and liraglutide may include: nausea, diarrhea; headache ; or cold symptoms such as stuffy or runny nose , sneezing, sore throat .",insulin degludec and liraglutide,Xultophy
nateglinide,Diabetes (Type 2),"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Nateglinide may cause serious side effects. Call your doctor at once if you have: seizure (convulsions); or jaundice (yellowing of the skin or eyes). Common side effects of nateglinide may include: runny or stuffy nose, sneezing, cough, cold or flu symptoms; diarrhea ; back pain ; dizziness ; or joint pain or stiffness.",nateglinide (oral),Starlix
tirzepatide,Diabetes (Type 2),"Stop using tirzepatide and get emergency medical help if you have: signs of an allergic reaction: hives ; difficult breathing; feeling light-headed; swelling of your face, lips, tongue, or throat; or pancreatitis --severe pain in your upper stomach spreading to your back, nausea and vomiting . Tirzepatide may cause serious side effects. Call your doctor at once if you have: severe stomach problems; changes in your vision; signs of a thyroid tumor--swelling or a lump in your neck, trouble swallowing, a hoarse voice, or if you feel short of breath; gallbladder problem--chalky-colored stools, stomach pain after eating, nausea , heartburn , bloating , and severe upper stomach pain that may spread to your back; low blood sugar-- headache , hunger, weakness, sweating, confusion, irritability, dizziness , fast heart rate , or feeling jittery; or kidney problems--little or no urination, swelling in your feet or ankles, feeling tired or short of breath. Common side effects of tirzepatide may include: nausea, diarrhea , decreased appetite, vomiting ; or constipation , indigestion , or stomach pain.",tirzepatide,Mounjaro
loperamide,Diarrhea,"diarrhea that is watery or bloody; stomach pain or bloating; ongoing or worsening diarrhea; or fast or pounding heartbeats, fluttering in your chest, shortness of breath, and sudden dizziness (like you might pass out). Common side effects of loperamide may include: constipation ; dizziness, drowsiness; nausea ; or stomach cramps.",loperamide,"Diamode, Imotil"
atropine / diphenoxylate,Diarrhea,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Some side effects may occur up to 30 hours after you take this medicine. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: severe constipation , stomach pain or bloating ; ongoing or worsening diarrhea; diarrhea that is watery or bloody; severe pain in your upper stomach spreading to your back; fever, flushing (warmth, redness, or tingly feeling); hallucinations, seizure; rapid breathing, weak or shallow breathing; fast heart rate ; or dehydration symptoms--feeling very thirsty or hot, being unable to urinate, heavy sweating, or hot and dry skin . Common side effects of atropine and diphenoxylate may include: drowsiness, dizziness , feeling restless; headache ; numbness in your hands or feet; depression , not feeling well; confusion, feelings of extreme happiness; red or swollen gums; dry mouth, nose, or throat; nausea , vomiting , upset stomach , loss of appetite; or skin rash , dryness, or itching.",atropine and diphenoxylate,"Lomotil, Lonox, Lomocot, Vi-Atro"
Pepto-Bismol,Diarrhea,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Stop taking this medicine and call your doctor at once if you have: changes in behavior with nausea and vomiting ; hearing loss or ringing in your ears; diarrhea lasting longer than 2 days; or worsened stomach symptoms. Bismuth subsalicylate can cause you to have a black or darkened tongue. This is a harmless side effect. Common side effects include: constipation ; or dark colored stools.",bismuth subsalicylate,"Bismarex, Bismatrol, Bismatrol Maximum Strength, Kaopectate, Kola-Pectin DS, Peptic Relief, Pepto-Bismol, Percy Medicine, Pink Bismuth, Soothe Caplets"
Florastor,Diarrhea,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Although not all side effects are known, Florastor is thought to be likely safe for most people when used as directed for up to 15 months. Common side effects of Florastor may include: gas, bloating ; or constipation .",saccharomyces boulardii lyo,"Florastor Kids, Saccharomyces Boulardii+MOS"
rifaximin,Diarrhea,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Rifaximin may cause serious side effects. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); fever; or fluid build-up around the stomach--rapid weight gain, stomach pain and bloating , trouble breathing while lying down. Common side effects of rifaximin may include: swelling in your hands or feet; nausea ; headache , dizziness ; tiredness; or abnormal liver function tests .",rifaximin,Xifaxan
neomycin,Diarrhea,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Neomycin may cause serious side effects. Call your doctor at once if you have: numbness or tingly feeling under your skin; hearing problems (even long after you stop taking neomycin); muscle twitching , seizure; weak or shallow breathing; or kidney problems--swelling, urinating less, feeling tired or short of breath. Common side effects of neomycin may include: nausea , vomiting ; or diarrhea .",neomycin,Neo-Fradin
crofelemer,Diarrhea,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Crofelemer may cause serious side effects. Call your doctor at once if you have: dark urine, jaundice (yellowing of the skin or eyes); wheezing, chest tightness, trouble breathing; or worsening diarrhea. Common side effects of crofelemer may include: abnormal blood tests; gas; or cold symptoms such as stuffy nose, sneezing, cough.",crofelemer,"Mytesi, Fulyzaq"
Pedialyte,Diarrhea,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Signs of fluid and electrolyte problems like mood changes, confusion, muscle pain or weakness, a heartbeat that does not feel normal, very bad dizziness or passing out, fast heartbeat , more thirst, seizures , feeling very tired or weak, not hungry, unable to pass urine or change in the amount of urine produced, dry mouth, dry eyes, or very bad upset stomach or throwing up. Pedialyte side effects","Electrolyte Oral Solution, Freezer-Pops, and Jell Cups","CeraSport, Enfalyte, Equalyte, Gerber Replenish, Naturalyte, Oralyte, Pedialyte, Rehydralyte, ReVital"
Medi-Lyte,Diarrhea,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives ; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Signs of fluid and electrolyte problems like mood changes, confusion, muscle pain or weakness, a heartbeat that does not feel normal, very bad dizziness or passing out, fast heartbeat , more thirst, seizures , feeling very tired or weak, not hungry, unable to pass urine or change in the amount of urine produced, dry mouth, dry eyes, or very bad upset stomach or throwing up. Medi-Lyte side effects",Electrolyte Tablets,Temp Tabs
allopurinol,Gout,"Stop using this medicine and get emergency medical help if you have signs of an allergic reaction to allopurinol ( hives , difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat , burning eyes, skin pain, red or purple skin rash with blistering and peeling). Seek medical treatment if you have a serious drug reaction that can affect many parts of your body. Symptoms may include: skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. Stop using allopurinol and call your doctor at once if you have: any skin rash, no matter how mild; painful urination, blood in the urine; little or no urination; easy bruising, unusual bleeding; numbness , tingling, burning pain; worsening gout symptoms; or liver problems - loss of appetite, weight loss , stomach pain (upper right side), itching, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Common allopurinol side effects may include: an increase in gout attacks when you first starting taking allopurinol oral; rash; drowsiness; fever, chills; abnormal liver function tests ; nausea , diarrhea ; or joint pain.",allopurinol,"Aloprim, Zyloprim"
febuxostat,Gout,"skin rash, fever, swollen glands, flu-like symptoms, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. Febuxostat may cause serious side effects. Call your doctor at once if you have: a light-headed feeling, like you might pass out; heart attack symptoms--chest pain or pressure, pain spreading to your jaw or shoulder, fast heartbeats, shortness of breath; liver problems--stomach pain (upper right side), unusual tiredness, dark urine, jaundice (yellowing of the skin or eyes); or signs of a stroke--sudden numbness or weakness (especially on one side of the body), sudden severe headache, slurred speech, problems with vision or balance. Common side effects of febuxostat may include: gout flares, joint pain; nausea ; mild rash; or liver problems.",febuxostat,Uloric
probenecid,Gout,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Probenecid may cause serious side effects. Call your doctor at once if you have: worsening gout symptoms; nausea, vomiting, stomach pain or swelling; painful or difficult urination; severe pain in your side or lower back; blood in your urine; urine that looks cloudy or foamy; puffy eyes, swelling in your ankles or feet, weight gain; or pale or yellowed skin. Common side effects of probenecid may include: headache , dizziness ; nausea, vomiting, loss of appetite; flushing (sudden warmth, redness, or tingly feeling); sore gums; urinating more than usual; itching, rash; or hair loss .",probenecid,Benemid
pegloticase,Gout,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Some side effects may occur during the injection. Tell your caregiver if you feel nervous, light-headed, itchy, short of breath, or have fast heartbeats, chest discomfort, or redness of your skin during the injection. Pegloticase may cause serious side effects. Call your doctor at once if you have: chest pain; or flushing (warmth, redness, or tingly feeling). Common side effects of pegloticase may include: COVID-19 symptoms such as fever or chills, cough, sore throat , shortness of breath, fatigue, muscle or body aches, headache , loss of taste or smell; hives, shortness of breath, chest pain or discomfort, skin redness, or itching; joint pain; allergic reactions ; new gout flares; nausea , vomiting , constipation ; or bruising.",pegloticase,Krystexxa
rilonacept,Gout,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. You may get infections more easily, even serious or fatal infections. Call your doctor right away if you have signs of infection such as: fever, chills, sore throat; open sores on your body; cough with mucus, feeling short of breath; headache , neck stiffness, increased sensitivity to light, confusion; or chest discomfort, wheezing, dry cough, rapid weight loss . Also call your doctor at once if you have: bloody, black, or tarry stools; coughing up blood or vomit that looks like coffee grounds; wheezing, chest tightness, trouble breathing; pain or burning when you urinate; or signs of an ear infection--fever, ear pain or full feeling, trouble hearing, drainage from the ear, fussiness in a child. Common side effects of rilonacept may include: cold symptoms such as stuffy nose, runny nose , sneezing, sore throat; ear infection; muscle or joint pain; rash; or pain, swelling, redness, itching, warmth, blistering, bleeding, bruising, a rash, or a lump where the medicine was injected.",rilonacept,Arcalyst
lisinopril,Hypertension,"hives; severe stomach pain, difficult breathing; swelling of your face, lips, tongue, or throat. You may be more likely to have an allergic reaction if you are African-American. Lisinopril may cause serious side effects. Call your doctor at once if you have: a light-headed feeling, like you might pass out; fever, sore throat; high potassium - nausea, weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement; kidney problems - little or no urination, swelling in your feet or ankles, feeling tired or short of breath; or >liver problems - nausea, upper stomach pain, itching, tired feeling, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Common side effects of lisinopril may include: headache; dizziness; cough; or chest pain.",lisinopril,"Prinivil, Qbrelis, Zestril"
losartan,Hypertension,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. In extremely rare cases, losartan can cause a condition that results in the breakdown of skeletal muscle tissue, leading to potential kidney failure. Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, and dark colored urine. Call your doctor at once if you have: a feeling that you might pass out; pain or burning when you urinate; pale skin, feeling light-headed or short of breath, rapid heart rate, trouble concentrating; wheezing, chest pain; drowsiness, confusion, mood changes, increased thirst, loss of appetite, nausea and vomiting; swelling, weight gain, feeling short of breath, urinating less than usual or not at all; or high potassium (slow heart rate, weak pulse, muscle weakness, tingly feeling). Common losartan side effects may include: cold or flu symptoms such as stuffy nose, sneezing, sore throat, fever; dry cough; muscle cramps; pain in your legs or back; stomach pain, diarrhea; headache, dizziness; tired feeling; or sleep problems (insomnia).",losartan,Cozaar
hydrochlorothiazide,Hypertension,"a light-headed feeling; eye pain , vision problems; jaundice (yellowing of the skin or eyes); pale skin, easy bruising, unusual bleeding (nose, mouth, vagina, or rectum); shortness of breath, wheezing, cough with foamy mucus, chest pain; dehydration symptoms - feeling very thirsty or hot, being unable to urinate, heavy sweating, or hot and dry skin ; or signs of an electrolyte imbalance - increased thirst or urination, confusion, vomiting, constipation , muscle pain, leg cramps, bone pain, lack of energy, irregular heartbeats, tingly feeling. Common hydrochlorothiazide side effects may include: weakness; feeling like you might pass out; severe pain in your upper stomach spreading to your back, nausea and vomiting ; fever, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath; or electrolyte imbalance.",hydrochlorothiazide,"Esidrix, Microzide"
furosemide,Hypertension,"a light-headed feeling, like you might pass out; ringing in your ears, hearing loss; muscle spasms or contractions; pale skin, easy bruising, unusual bleeding; high blood sugar - increased thirst, increased urination, dry mouth, fruity breath odor; kidney problems - little or no urination, swelling in your feet or ankles, feeling tired or short of breath; signs of liver or pancreas problems - loss of appetite, upper stomach pain (that may spread to your back), nausea or vomiting , dark urine, jaundice (yellowing of the skin or eyes); or signs of an electrolyte imbalance - dry mouth, thirst, weakness, drowsiness, feeling jittery or unsteady, vomiting, irregular heartbeats, fluttering in your chest, numbness or tingling, muscle cramps, muscle weakness or limp feeling. Common furosemide side effects may include: diarrhea , constipation , loss of appetite; numbness or tingling; headache , dizziness ; or blurred vision.",furosemide (oral/injection),Lasix
hydrochlorothiazide / lisinopril,Hypertension,"hives ; severe stomach pain; difficulty breathing; swelling of your face, lips, tongue, or throat. You may be more likely to have an allergic reaction if you are African-American. Hydrochlorothiazide and lisinopril may cause serious side effects. Call your doctor at once if you have: a light-headed feeling, like you might pass out; eye pain , vision problems; little or no urination; weakness, drowsiness, or feeling restless; fever, chills, sore throat , mouth sores, trouble swallowing; jaundice (yellowing of the skin or eyes); high potassium-- nausea , tingly feeling, chest pain, irregular heartbeats, loss of movement; low potassium --leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling; or low sodium-- headache , confusion, slurred speech, severe weakness, vomiting, loss of coordination, feeling unsteady. Common side effects of hydrochlorothiazide and lisinopril may include: cough; headache; dizziness ; or tired feeling.",hydrochlorothiazide and lisinopril,"Zestoretic, Prinzide"
valsartan,Hypertension,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Valsartan may cause serious side effects. Call your doctor at once if you have: a light-headed feeling, like you might pass out; little or no urination; or high potassium level-- nausea , weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement. Common side effects of valsartan may include: high potassium; headache , dizziness , feeling light-headed; flu symptoms, tiredness; cough; stomach pain, diarrhea; back pain , joint pain; or abnormal kidney test.",valsartan,Diovan
enalapril,Hypertension,"hives; severe stomach pain; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: a light-headed feeling, like you might pass out; slow heartbeats; pounding heartbeats or fluttering in your chest; little or no urination; jaundice (yellowing of the skin or eyes); numbness, tingling, or burning pain in your hands or feet; fever, chills, cold or flu symptoms; easy bruising, unusual bleeding; or high potassium - nausea, weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement. Common enalapril side effects may include: dizziness, feeling tired; cough; or feeling light-headed.",enalapril,"Epaned, Vasotec"
hydralazine,Hypertension,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Hydralazine may cause serious side effects. Call your doctor at once if you have: chest pain or pressure, pain spreading to your jaw or shoulder; fast or pounding heartbeats; a light-headed feeling, like you might pass out; numbness , tingling, or burning pain in your hands or feet; painful or difficult urination; little or no urination; or lupus -like syndrome--joint pain or swelling with fever, swollen glands, muscle aches, chest pain, vomiting , unusual thoughts or behavior, and patchy skin color. Common side effects of hydralazine may include: chest pain, fast heart rate ; headache ; or nausea , vomiting, diarrhea , loss of appetite.",hydralazine,Apresoline
nifedipine,Hypertension,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: worsening angina; a light-headed feeling, like you might pass out; pounding heartbeats or fluttering in your chest; chest pain or heavy feeling, pain spreading to the jaw or shoulder, nausea, sweating, general ill feeling; swelling in your ankles or feet; or upper stomach pain, jaundice (yellowing of the skin or eyes). Common nifedipine side effects may include: mild dizziness; flushing (warmth, redness, or tingly feeling); weakness, headache, mood changes; heartburn, nausea; tremors, muscle cramps; or cough, wheezing, sore throat, stuffy nose.",nifedipine,"Adalat CC, Afeditab CR, Nifediac CC, Nifedical XL, Procardia, Procardia XL, Adalat"
ramipril,Hypertension,"hives; severe stomach pain; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: a light-headed feeling, like you might pass out; jaundice (yellowing of your skin or eyes); little or no urination; fever, chills, sore throat, cold or flu symptoms; or high potassium - nausea, weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement. Common ramipril side effects may include: headache; cough; or dizziness, weakness, tired feeling.",ramipril,Altace
diltiazem,Hypertension,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: slow heartbeats; pounding heartbeats or fluttering in your chest; a light-headed feeling, like you might pass out; shortness of breath (even with mild activity), swelling, rapid weight gain; nausea, upper stomach pain, itching, tired feeling, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); or severe skin reaction - fever, sore throat, swelling in your face or tongue, burning in your eyes, skin pain followed by a red or purple skin rash that spreads (especially in the face or upper body) and causes blistering and peeling. Common diltiazem side effects may include: swelling; dizziness, weakness; headache; nausea; or rash.",diltiazem,"Cartia XT, Dilacor XR, Diltia XT, Dilt-XR, Diltzac, Matzim LA, Taztia XT, Tiadylt ER, Tiazac"
hydrochlorothiazide / losartan,Hypertension,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Hydrochlorothiazide and losartan may cause serious side effects. Call your doctor at once if you have: a light-headed feeling, like you might pass out; irregular heartbeats; eye pain , vision problems; kidney problems--little or no urination, rapid weight gain, swelling in your hands, feet, or ankles; new or worsening symptoms of lupus--joint pain, and a skin rash on your cheeks or arms that worsens in sunlight; or signs of an electrolyte imbalance--increased thirst or urination, confusion, vomiting, constipation , muscle pain, leg cramps, irregular heartbeats, numbness or tingling, severe weakness, loss of movement, feeling jittery or unsteady. Common side effects of hydrochlorothiazide and losartan may include: dizziness ; back pain ; or cold symptoms such as stuffy nose, sneezing, sore throat .",hydrochlorothiazide and losartan,Hyzaar
irbesartan,Hypertension,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Irbesartan may cause serious side effects. Call your doctor at once if you have: a light-headed feeling, like you might pass out; little or no urination; high potassium level-- nausea , weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement. Common side effects of irbesartan may include: dizziness ; feeling light-headed; or high potassium.",irbesartan,Avapro
olmesartan,Hypertension,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Olmesartan may cause serious side effects. Call your doctor at once if you have: a light-headed feeling, like you might pass out; little or no urination; severe diarrhea and weight loss ; or high potassium level-- nausea , weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement. Common side effects of olmesartan may include: dizziness .",olmesartan,Benicar
chlorthalidone,Hypertension,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Chlorthalidone may cause serious side effects. Call your doctor at once if you have: a light-headed feeling, like you might pass out; low sodium-- headache , confusion, slurred speech, severe weakness, vomiting, loss of coordination, feeling unsteady; low potassium --leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling; low magnesium--dizziness, irregular heartbeats, feeling jittery, muscle cramps, muscle spasms, cough or choking feeling; or kidney problems--little or no urination, swelling in your feet or ankles, feeling tired or short of breath. Common side effects of chlorthalidone may include: low blood pressure (feeling light-headed); kidney problems; dizziness; or an electrolyte imbalance (such as low levels of potassium, sodium, or magnesium in your blood).",chlorthalidone,Thalitone
hydrochlorothiazide / triamterene,Hypertension,"blurred vision, tunnel vision, eye pain , or seeing halos around lights; a light-headed feeling, like you might pass out; fast, slow, or uneven heart rate; signs of liver or pancreas problems--loss of appetite, upper stomach pain (that may spread to your back), nausea or vomiting, fast heart rate , dark urine, jaundice (yellowing of the skin or eyes); high potassium level--nausea, weakness, tingly feeling, feeling weak or tired, slow heartbeats, loss of movement; low potassium level--leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling; kidney problems--little or no urination, swelling in your feet or ankles, feeling tired or short of breath; lupus -like symptoms--muscle or joint pain, flu symptoms, chest pain, and a rash or patchy skin color that worsens in sunlight; or other signs of an electrolyte imbalance--thirst, dry mouth, stomach pain, drowsiness, weakness, fast heart rate, muscle pain or weakness, feeling restless or light-headed. Common side effects of hydrochlorothiazide and triamterene may include: stomach pain, nausea, diarrhea , constipation; dizziness , headache ; blurred vision; or dry mouth.",hydrochlorothiazide and triamterene,"Dyazide, Maxzide, Maxzide-25"
amlodipine / benazepril,Hypertension,"hives; severe stomach pain; difficulty breathing; swelling of your face, lips, tongue, or throat. You may be more likely to have an allergic reaction if you are African-American. Some side effects may not occur until after you have used the medicine for several months. Amlodipine and benazepril may cause serious side effects. Call your doctor at once if you have: a light-headed feeling, like you might pass out; swelling in your hands or feet, rapid weight gain; new or worsened chest pain; fever, chills, sore throat , body aches, flu symptoms; high potassium-- nausea , weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement; or liver problems--nausea, stomach pain (upper right side), itching, unusual tiredness, flu-like symptoms, dark urine, jaundice (yellowing of the skin or eyes). Common side effects of amlodipine and benazepril may include: cough; dizziness ; or swelling in your hands or feet.",amlodipine and benazepril,Lotrel
benazepril,Hypertension,"a light-headed feeling, like you might pass out; little or no urinating; high potassium-- nausea , weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement; or liver problems--stomach pain (upper right side), loss of appetite, dark urine, jaundice (yellowing of the skin or eyes). Common side effects of benazepril may include: headache ; or cough.",benazepril,Lotensin
bisoprolol,Hypertension,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: shortness of breath (even with mild exertion), swelling, rapid weight gain; slow heart rate; pounding heartbeats or fluttering in your chest; numbness, tingling, or cold feeling in your hands or feet; a light-headed feeling, like you might pass out; eye pain, vision problems; or bronchospasm (wheezing, chest tightness, trouble breathing). Common bisoprolol side effects may include: headache; feeling tired; sleep problems (insomnia); joint pain; swelling; or cold symptoms such as stuffy nose, runny nose, cough, sore throat.",bisoprolol,Zebeta
doxazosin,Hypertension,"hives; difficulty breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: a light-headed feeling, like you might pass out; severe ongoing stomach pain or bloating; new or worsening chest pain; trouble breathing; or a penis erection that is painful or lasts 4 hours or longer. Common doxazosin side effects may include: low blood pressure, dizziness; drowsiness; headache; or feeling weak or tired.",doxazosin,"Cardura, Cardura XL"
candesartan,Hypertension,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Candesartan may cause serious side effects. Call your doctor at once if you have: a light-headed feeling, like you might pass out; little or no urination; or high potassium level-- nausea , weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement. Common side effects of candesartan may include: high potassium; headache , back pain ; cold symptoms such as stuffy or runny nose , sneezing, sore throat ; dizziness; or abnormal kidney test.",candesartan,Atacand
labetalol,Hypertension,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Labetalol may cause serious side effects. Call your doctor at once if you have: a light-headed feeling, like you might pass out; slow heart rate, weak pulse, fainting, slow breathing (breathing may stop); shortness of breath (even with mild exertion), swelling, rapid weight gain; severe headache , blurred vision, pounding in your neck or ears; or liver problems--loss of appetite, stomach pain (upper right side), flu-like symptoms, itching, dark urine, jaundice (yellowing of the skin or eyes). Severe dizziness or fainting may be more likely in older adults. Common side effects of labetalol may include: dizziness, drowsiness, tiredness; nausea , vomiting ; sudden warmth, skin redness, sweating; numbness ; or tingly feeling in your scalp.",labetalol (oral/injection),"Trandate, Normodyne"
perindopril,Hypertension,"hives ; severe stomach pain; difficulty breathing; swelling of your face, lips, tongue, or throat. You may be more likely to have an allergic reaction if you are African-American. Perindopril may cause serious side effects. Call your doctor at once if you have: a light-headed feeling, like you might pass out; fever, chills, body aches, flu symptoms, sores in your mouth and throat; little or no urination; swelling, rapid weight gain; high potassium-- nausea , slow or unusual heart rate, weakness, loss of movement; pale skin, easy bruising or bleeding; or jaundice (yellowing of the skin or eyes). Common side effects of perindopril may include: dizziness ; back pain ; or cough.",perindopril,Aceon
telmisartan,Hypertension,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Also call your doctor at once if you have: a light-headed feeling, like you might pass out; little or no urination; swelling in your feet or ankles, rapid weight gain; unusual pain or tightness in your lower body; a skin ulcer; or high potassium level-- nausea , weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement. Common side effects of telmisartan may include: stuffy nose, sinus pain; back pain ; or diarrhea.",telmisartan,Micardis
amlodipine / valsartan,Hypertension,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Amlodipine and valsartan may cause serious side effects. Call your doctor at once if you have: a light-headed feeling, like you might pass out; swelling in your hands or feet, rapid weight gain; or high potassium level-- nausea , weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement. Common side effects include: swelling in your hands or feet; dizziness ; or cold symptoms such as stuffy nose, sneezing, sore throat .",amlodipine and valsartan,Exforge
atenolol / chlorthalidone,Hypertension,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Atenolol and chlorthalidone may cause serious side effects. Call your doctor at once if you have: new or worsening chest pain; slow or uneven heartbeats; a light-headed feeling, like you might pass out; shortness of breath (even with mild exertion), swelling, rapid weight gain; cold feeling in your hands and feet; jaundice (yellowing of the skin or eyes); low sodium level -- headache , confusion, slurred speech, severe weakness, vomiting, loss of coordination, feeling unsteady; or low potassium level--leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling. Common side effects of atenolol and chlorthalidone may include: slow heartbeats; feeling weak or tired; dizziness , drowsiness; numbness or tingling; pale skin, bruising or bleeding; depression ; or upset stomach , loss of appetite, constipation.",atenolol and chlorthalidone,"Tenoretic 100, Tenoretic 50"
captopril,Hypertension,"hives; severe stomach pain; difficulty breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: a light-headed feeling, like you might pass out; little or no urination, or urinating more than usual; shortness of breath (even with mild exertion), swelling, rapid weight gain; chest pain or pressure, pounding heartbeats or fluttering in your chest; high potassium - nausea, slow or unusual heart rate, weakness, loss of movement; or sudden weakness or ill feeling, fever, chills, sore throat, painful mouth sores, pain when swallowing, skin sores, cold or flu symptoms. Common captopril side effects may include: cough; flushing (warmth, redness, or tingly feeling); numbness, tingling, or burning pain in your hands or feet; loss of taste sensation; or mild skin itching or rash.",captopril,Capoten
